Operador;Tipo Pausa;Fecha inicio;Fecha_fin
VVILLARROEL;administrativo;2022-12-22 16:26:03;2022-12-22 16:27:55
lcastresana;administrativo;2022-12-22 16:27:00;2022-12-22 16:27:53
lcastresana;administrativo;2022-12-22 16:28:18;2022-12-22 16:28:42
ADANIELA;administrativo;2022-12-22 16:32:35;2022-12-22 16:32:49
ADANIELA;administrativo;2022-12-22 16:33:56;2022-12-22 16:34:31
VVILLARROEL;administrativo;2022-12-22 16:35:51;2022-12-22 16:38:34
NSOLIS;administrativo;2022-12-22 16:35:57;2022-12-22 16:38:43
LCANO;administrativo;2022-12-22 16:36:47;2022-12-22 16:38:28
VVILLARROEL;administrativo;2022-12-22 16:38:38;
fgarnica;administrativo;2022-12-22 16:55:16;2022-12-22 16:57:08
smilagro;administrativo;2022-12-22 16:57:07;2022-12-22 17:19:17
NRODRIGUEZ;baño;2022-12-22 16:57:32;2022-12-22 17:01:21
fgarnica;administrativo;2022-12-22 16:58:58;2022-12-22 17:00:11
